date;user;text;cleantext;tokens
2022-10-23 23:49:00;cahyoharjuna;"Obat gagal ginjal akut - didatangkan dari asing
Vaksin - didatangkan dari asing
Buruh kasar - diisi Tenaga Kerja Asing

Ini nanti pejabat pemerintahan juga bakal diisi asing nggak?
Misal untuk mengisi jabatan kepala dinas pendidikan didatangkan orang Tiongkok gitu. ??";obat gagal ginjal akut asing vaksin asing buruh kasar isi tenaga kerja asing jabat perintah isi asing isi jabat kepala dinas didik orang tiongkok;['obat', 'gagal', 'ginjal', 'akut', 'asing', 'vaksin', 'asing', 'buruh', 'kasar', 'isi', 'tenaga', 'kerja', 'asing', 'jabat', 'perintah', 'isi', 'asing', 'isi', 'jabat', 'kepala', 'dinas', 'didik', 'orang', 'tiongkok']
2022-10-23 23:48:00;otsuzo;Ayo vaksin! ????????????????????????????????????????;ayo vaksin;['ayo', 'vaksin']
2022-10-23 23:47:00;chrnnisah;RT @collegemenfess: [cm] kalian suka penasaran ga sih sm gmn jalan pikirannya orang yg anti-vaksin? Mksdnya ya tetep ngeyel2 gt lah pendapaâ¦;suka penasaran sih jalan pikir orang anti vaksin maksud ngeyel pendapa;['suka', 'penasaran', 'sih', 'jalan', 'pikir', 'orang', 'anti', 'vaksin', 'maksud', 'ngeyel', 'pendapa']
2022-10-23 23:46:00;sekencens;Ngtwt ttg vaksin, lgsg di dm gini??;ngtwt vaksin langsung;['ngtwt', 'vaksin', 'langsung']
2022-10-23 23:46:00;otsuzo;"RT @faizalassegaf: Yg terlanjur vaksin &amp; cemas, konsumsi aja madu Arab dari Yaman utk netralisir. Itu sunnah Baginda Rasul yg sdh terbuktiâ¦";lanjur vaksin amp cemas konsumsi madu arab yaman netralisir sunnah baginda rasul bukti;['lanjur', 'vaksin', 'amp', 'cemas', 'konsumsi', 'madu', 'arab', 'yaman', 'netralisir', 'sunnah', 'baginda', 'rasul', 'bukti']
2022-10-23 23:46:00;PestMobil;"Bang, jangan politikkan kes kematian Covid.
36k kematian sebab PH buat bodoh. 
Negeri² PH ada duit dan resources utk buat ivermectin clinical trial. Kenapa tak buat? 

Nak politikkan juga org mati, tu yg mati sudden death lepas vaksin.";bang politik kes mati covid mati bodoh negeri duit resources ivermectin clinical trial nak politik orang mati mati sudden death lepas vaksin;['bang', 'politik', 'kes', 'mati', 'covid', 'mati', 'bodoh', 'negeri', 'duit', 'resources', 'ivermectin', 'clinical', 'trial', 'nak', 'politik', 'orang', 'mati', 'mati', 'sudden', 'death', 'lepas', 'vaksin']
2022-10-23 23:46:00;kerjacerdas;"RT @SumandoGaek: Vaksin berulang kali adalah kebohongan â£ï¸â ï¸ dan PCR/Antigen test kit mengandung racun yg berbahaya.
Jadi selama 3 tahun inâ¦";vaksin ulang kali bohong pcr antigen test kit kandung racun bahaya in;['vaksin', 'ulang', 'kali', 'bohong', 'pcr', 'antigen', 'test', 'kit', 'kandung', 'racun', 'bahaya', 'in']
2022-10-23 23:44:00;supiaman_asep;RT @DokterTifa: Poly etylene glycol (PEG) ada di vaksin C0V1D, bukan mrpk kontaminan, ttp mmg bahan eksisting yg ada di vaksin tsb, utama dâ¦;poly etylene glycol peg vaksin mrpk kontaminan bahan eksisting vaksin utama;['poly', 'etylene', 'glycol', 'peg', 'vaksin', 'mrpk', 'kontaminan', 'bahan', 'eksisting', 'vaksin', 'utama']
2022-10-23 23:44:00;sriryzky;"RT @YanniAffan: Dr. Indro bikin syokkk inið
Harusnya Biar Fair pemeriksaan bukan hanya dilakukan pada obatÂ²an yg beredar tapi akan lebih baâ¦";indro bikin syokkk biar fair pemeriksan laku obat an edar ba;['indro', 'bikin', 'syokkk', 'biar', 'fair', 'pemeriksan', 'laku', 'obat', 'an', 'edar', 'ba']
2022-10-23 23:44:00;Lusi_tor;@convomfs vaksin 4 meluncur;vaksin luncur;['vaksin', 'luncur']
2022-10-23 23:42:00;PatihGaj_Ahmada;Bukan idiot tapi di sekolah tak tungkat kesadaran rendah dan tak diajarin ilmu dasar dasar kesehatan alami praktis yg berguna utk kelak kmdn hari. Yg ada sekarang dunia pendidikan disusupi agenda para pengusaha melalu dinas terkait. Yg disurih vaksin yg disuruh minum pil dll.;idiot sekolah tungkat sadar rendah ajar ilmu dasar dasar sehat alami praktis kelak kmdn dunia didik susup agenda usaha dinas kait surih vaksin suruh minum pil;['idiot', 'sekolah', 'tungkat', 'sadar', 'rendah', 'ajar', 'ilmu', 'dasar', 'dasar', 'sehat', 'alami', 'praktis', 'kelak', 'kmdn', 'dunia', 'didik', 'susup', 'agenda', 'usaha', 'dinas', 'kait', 'surih', 'vaksin', 'suruh', 'minum', 'pil']
2022-10-23 23:41:00;nabilazwink;KA antar kota wajib booster nder, di tiket km otomatis nanti muncul keterangannya km udh vaksin brp. Tp kalo KA lokal kayanya minimal vaksin 1. Kalo bis sama sekali ga pake.;kota wajib booster nder tiket otomatis muncul terang vaksin kalo lokal kaya minimal vaksin kalo bis pakai;['kota', 'wajib', 'booster', 'nder', 'tiket', 'otomatis', 'muncul', 'terang', 'vaksin', 'kalo', 'lokal', 'kaya', 'minimal', 'vaksin', 'kalo', 'bis', 'pakai']
2022-10-23 23:41:00;DavidHe49955130;"RT @papa_loren: Luhut: Perusahaan RI dan Cina Bangun Pabrik Vaksin, Mulai Produksi April 2022.

Meaning:
1. Long term PPKM
2. Booster jilidâ¦";luhut cina bangun pabrik vaksin produksi april meaning long term ppkm booster jilid;['luhut', 'cina', 'bangun', 'pabrik', 'vaksin', 'produksi', 'april', 'meaning', 'long', 'term', 'ppkm', 'booster', 'jilid']
2022-10-23 23:40:00;rbibl;@depopulasi @edemasentral @chydrrn @Askrlfess Coba deh baca lagi fungsi vaksin itu apa;coba deh baca fungsi vaksin;['coba', 'deh', 'baca', 'fungsi', 'vaksin']
2022-10-23 23:38:00;otsuzo;"RT @LtdAkbar: Mau nanya. Polyethylene Glicol itu ada dalam vaksin mRNA gak ya?
Ada yang tau?
Kenapa covaxin tdk boleh dibarengin dg paracetâ¦";polyethylene glicol vaksin mrna tau covaxin dibarengin paracet;['polyethylene', 'glicol', 'vaksin', 'mrna', 'tau', 'covaxin', 'dibarengin', 'paracet']
