accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.67867;0.65714;"[0.62       0.74       0.72       0.64       0.72       0.62
 0.72       0.68       0.60666667 0.72      ]";"[0.64285714 0.65714286 0.65714286 0.67142857 0.62857143 0.64571429
 0.66285714 0.65428571 0.69428571 0.65714286]";[-1 -1  1 ...  1 -1 -1];"[[0.55414605 0.44585395]
 [0.51486705 0.48513295]
 [0.45499966 0.54500034]
 ...
 [0.47919034 0.52080966]
 [0.50412737 0.49587263]
 [0.54281796 0.45718204]]";"[[0.55427974 0.44572026]
 [0.54214003 0.45785997]
 [0.5139895  0.4860105 ]
 ...
 [0.53532013 0.46467987]
 [0.53265597 0.46734403]
 [0.555791   0.444209  ]]"
0.67867;0.65714;"[0.62       0.74       0.72       0.64       0.72       0.62
 0.72       0.68       0.60666667 0.72      ]";"[0.64285714 0.65714286 0.65714286 0.67142857 0.62857143 0.64571429
 0.66285714 0.65428571 0.69428571 0.65714286]";[-1 -1  1 ...  1 -1 -1];"[[0.55414605 0.44585395]
 [0.51486705 0.48513295]
 [0.45499966 0.54500034]
 ...
 [0.47919034 0.52080966]
 [0.50412737 0.49587263]
 [0.54281796 0.45718204]]";"[[0.55427974 0.44572026]
 [0.54214003 0.45785997]
 [0.5139895  0.4860105 ]
 ...
 [0.53532013 0.46467987]
 [0.53265597 0.46734403]
 [0.555791   0.444209  ]]"
0.666;0.70171;"[0.64       0.72       0.74       0.58       0.71333333 0.59333333
 0.69333333 0.67333333 0.60666667 0.7       ]";"[0.69142857 0.72571429 0.70571429 0.71142857 0.67428571 0.68
 0.70571429 0.69714286 0.69428571 0.73142857]";[-1 -1  1 ... -1  1 -1];"[[0.72509949 0.27490051]
 [0.61068634 0.38931366]
 [0.44625311 0.55374689]
 ...
 [0.51677756 0.48322244]
 [0.4748097  0.5251903 ]
 [0.6393513  0.3606487 ]]";"[[0.63533537 0.36466463]
 [0.62254866 0.37745134]
 [0.5161433  0.4838567 ]
 ...
 [0.57407666 0.42592334]
 [0.6298877  0.3701123 ]
 [0.59043798 0.40956202]]"
0.666;0.70171;"[0.64       0.72       0.74       0.58       0.71333333 0.59333333
 0.69333333 0.67333333 0.60666667 0.7       ]";"[0.69142857 0.72571429 0.70571429 0.71142857 0.67428571 0.68
 0.70571429 0.69714286 0.69428571 0.73142857]";[-1 -1  1 ... -1  1 -1];"[[0.72509949 0.27490051]
 [0.61068634 0.38931366]
 [0.44625311 0.55374689]
 ...
 [0.51677756 0.48322244]
 [0.4748097  0.5251903 ]
 [0.6393513  0.3606487 ]]";"[[0.63533537 0.36466463]
 [0.62254866 0.37745134]
 [0.5161433  0.4838567 ]
 ...
 [0.57407666 0.42592334]
 [0.6298877  0.3701123 ]
 [0.59043798 0.40956202]]"
0.668;0.67371;"[0.59333333 0.7        0.72666667 0.64       0.75333333 0.57333333
 0.72666667 0.67333333 0.61333333 0.68      ]";"[0.64571429 0.70285714 0.66857143 0.68       0.67428571 0.66571429
 0.67142857 0.69428571 0.67714286 0.65714286]";[-1 -1  1 ... -1 -1 -1];"[[0.83260097 0.16739903]
 [0.68479528 0.31520472]
 [0.43817111 0.56182889]
 ...
 [0.52041713 0.47958287]
 [0.54120478 0.45879522]
 [0.71199027 0.28800973]]";"[[0.6931453  0.3068547 ]
 [0.72613776 0.27386224]
 [0.52451252 0.47548748]
 ...
 [0.62128671 0.37871329]
 [0.61805002 0.38194998]
 [0.62866869 0.37133131]]"
0.668;0.67371;"[0.59333333 0.7        0.72666667 0.64       0.75333333 0.57333333
 0.72666667 0.67333333 0.61333333 0.68      ]";"[0.64571429 0.70285714 0.66857143 0.68       0.67428571 0.66571429
 0.67142857 0.69428571 0.67714286 0.65714286]";[-1 -1  1 ... -1 -1 -1];"[[0.83260097 0.16739903]
 [0.68479528 0.31520472]
 [0.43817111 0.56182889]
 ...
 [0.52041713 0.47958287]
 [0.54120478 0.45879522]
 [0.71199027 0.28800973]]";"[[0.6931453  0.3068547 ]
 [0.72613776 0.27386224]
 [0.52451252 0.47548748]
 ...
 [0.62128671 0.37871329]
 [0.61805002 0.38194998]
 [0.62866869 0.37133131]]"
0.67;0.62429;"[0.59333333 0.69333333 0.72666667 0.63333333 0.71333333 0.62
 0.72       0.68       0.62666667 0.69333333]";"[0.61714286 0.64857143 0.64       0.63142857 0.63428571 0.6
 0.62857143 0.66       0.58857143 0.59428571]";[ 1 -1  1 ... -1 -1 -1];"[[0.49485714 0.50514286]
 [0.72216632 0.27783368]
 [0.36800554 0.63199446]
 ...
 [0.59514661 0.40485339]
 [0.56826267 0.43173733]
 [0.59883087 0.40116913]]";"[[0.51185185 0.48814815]
 [0.75754597 0.24245403]
 [0.56219154 0.43780846]
 ...
 [0.67080717 0.32919283]
 [0.64657427 0.35342573]
 [0.5753755  0.4246245 ]]"
0.67;0.62429;"[0.59333333 0.69333333 0.72666667 0.63333333 0.71333333 0.62
 0.72       0.68       0.62666667 0.69333333]";"[0.61714286 0.64857143 0.64       0.63142857 0.63428571 0.6
 0.62857143 0.66       0.58857143 0.59428571]";[ 1 -1  1 ... -1 -1 -1];"[[0.49485714 0.50514286]
 [0.72216632 0.27783368]
 [0.36800554 0.63199446]
 ...
 [0.59514661 0.40485339]
 [0.56826267 0.43173733]
 [0.59883087 0.40116913]]";"[[0.51185185 0.48814815]
 [0.75754597 0.24245403]
 [0.56219154 0.43780846]
 ...
 [0.67080717 0.32919283]
 [0.64657427 0.35342573]
 [0.5753755  0.4246245 ]]"
0.63533;0.53114;"[0.62666667 0.61333333 0.68666667 0.62       0.62       0.61333333
 0.68       0.63333333 0.6        0.66      ]";"[0.54285714 0.51428571 0.50857143 0.52       0.58285714 0.51714286
 0.51428571 0.55142857 0.52571429 0.53428571]";[ 1  1 -1 ... -1 -1  1];"[[0.49485714 0.50514286]
 [0.49485714 0.50514286]
 [0.60869469 0.39130531]
 ...
 [0.60727667 0.39272333]
 [0.60869469 0.39130531]
 [0.49485714 0.50514286]]";"[[0.51185185 0.48814815]
 [0.51185185 0.48814815]
 [0.66674689 0.33325311]
 ...
 [0.61340095 0.38659905]
 [0.65619054 0.34380946]
 [0.51259259 0.48740741]]"
0.63533;0.53114;"[0.62666667 0.61333333 0.68666667 0.62       0.62       0.61333333
 0.68       0.63333333 0.6        0.66      ]";"[0.54285714 0.51428571 0.50857143 0.52       0.58285714 0.51714286
 0.51428571 0.55142857 0.52571429 0.53428571]";[ 1  1 -1 ... -1 -1  1];"[[0.49485714 0.50514286]
 [0.49485714 0.50514286]
 [0.60869469 0.39130531]
 ...
 [0.60727667 0.39272333]
 [0.60869469 0.39130531]
 [0.49485714 0.50514286]]";"[[0.51185185 0.48814815]
 [0.51185185 0.48814815]
 [0.66674689 0.33325311]
 ...
 [0.61340095 0.38659905]
 [0.65619054 0.34380946]
 [0.51259259 0.48740741]]"
