accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.75067;0.76629;"[0.78       0.75333333 0.76666667 0.71333333 0.77333333 0.73333333
 0.77333333 0.73333333 0.69333333 0.78666667]";"[0.74857143 0.78857143 0.75428571 0.72571429 0.75142857 0.76
 0.77142857 0.80285714 0.77142857 0.78857143]";[-1 -1  1 ... -1 -1 -1];"[-0.50454669 -0.46230251  0.79467221 ... -0.06313487 -0.09029763
 -0.9832481 ]";"[-0.68658033 -0.18165992 -0.24883494 ... -0.42648942 -0.14643846
 -0.88173382]"
0.75067;0.766;"[0.78       0.75333333 0.76666667 0.71333333 0.77333333 0.72666667
 0.78       0.73333333 0.69333333 0.78666667]";"[0.75428571 0.78857143 0.75428571 0.72285714 0.75714286 0.76
 0.77142857 0.80285714 0.76571429 0.78285714]";[-1 -1  1 ... -1 -1 -1];"[-0.47971667 -0.46215484  0.78987882 ... -0.06746518 -0.08806945
 -0.9776669 ]";"[-0.68099001 -0.18407039 -0.22641743 ... -0.42944909 -0.15310621
 -0.88325741]"
0.748;0.79114;"[0.77333333 0.75333333 0.74       0.71333333 0.78       0.72
 0.77333333 0.73333333 0.70666667 0.78666667]";"[0.76       0.82       0.8        0.76571429 0.74571429 0.78857143
 0.8        0.81428571 0.80857143 0.80857143]";[-1 -1  1 ... -1 -1 -1];"[-1.03095962 -0.38604305  0.84048049 ... -0.01924724 -0.18529939
 -1.38360082]";"[-0.87957578 -0.12835964 -0.13259878 ... -0.47686699 -0.19920125
 -1.0338611 ]"
0.75067;0.79029;"[0.78       0.75333333 0.74666667 0.72       0.77333333 0.71333333
 0.78       0.76       0.70666667 0.77333333]";"[0.76       0.82       0.8        0.76       0.74857143 0.78571429
 0.79714286 0.82       0.80571429 0.80571429]";[-1 -1  1 ... -1 -1 -1];"[-1.00694634 -0.38549146  0.84452845 ... -0.02823779 -0.18950028
 -1.38614415]";"[-0.86477522 -0.12649214 -0.11220062 ... -0.48681322 -0.20405612
 -1.03942959]"
0.752;0.80857;"[0.76666667 0.74       0.75333333 0.71333333 0.78666667 0.72666667
 0.78       0.74       0.71333333 0.8       ]";"[0.79142857 0.82       0.82857143 0.78285714 0.77714286 0.78285714
 0.82       0.83428571 0.82       0.82857143]";[-1 -1  1 ...  1 -1 -1];"[-1.28548879 -0.19027891  0.82985457 ...  0.10404812 -0.42126771
 -1.58893553]";"[-0.94736945 -0.01353232 -0.21077859 ... -0.57693753 -0.38830261
 -1.16659276]"
0.75133;0.80629;"[0.76666667 0.73333333 0.76       0.70666667 0.79333333 0.72
 0.77333333 0.75333333 0.71333333 0.79333333]";"[0.78571429 0.81428571 0.82285714 0.78285714 0.77714286 0.78
 0.82285714 0.83428571 0.81714286 0.82571429]";[-1 -1  1 ...  1 -1 -1];"[-1.26861185 -0.19491525  0.82889809 ...  0.10837024 -0.41646496
 -1.5870383 ]";"[-0.92970828 -0.01266493 -0.18894041 ... -0.59000915 -0.36874365
 -1.1762848 ]"
0.756;0.79943;"[0.75333333 0.76       0.78666667 0.7        0.78666667 0.72
 0.79333333 0.76       0.72       0.78      ]";"[0.78571429 0.81714286 0.81714286 0.75428571 0.78571429 0.78285714
 0.81714286 0.83142857 0.81142857 0.79142857]";[-1 -1  1 ...  1 -1 -1];"[-1.35380996 -0.11690541  0.90974713 ...  0.16507779 -0.51025815
 -1.78674161]";"[-0.90669721  0.12753937 -0.284163   ... -0.60520379 -0.46140037
 -1.11262183]"
0.75933;0.79943;"[0.74       0.77333333 0.78666667 0.72       0.78666667 0.71333333
 0.79333333 0.76666667 0.72666667 0.78666667]";"[0.78857143 0.82       0.82       0.75428571 0.78857143 0.77428571
 0.82       0.82857143 0.81142857 0.78857143]";[-1 -1  1 ...  1 -1 -1];"[-1.30880431 -0.12133398  0.90707389 ...  0.16956557 -0.49217575
 -1.77245746]";"[-0.88296372  0.12652804 -0.26316311 ... -0.62968638 -0.41652675
 -1.10139073]"
0.734;0.72943;"[0.77333333 0.72       0.74       0.69333333 0.76666667 0.68666667
 0.75333333 0.74666667 0.74       0.72      ]";"[0.74       0.75428571 0.72285714 0.70285714 0.74571429 0.70857143
 0.73714286 0.71428571 0.73714286 0.73142857]";[-1 -1  1 ... -1  1 -1];"[-1.08650271 -0.79850276  1.23927609 ... -0.42112016  0.26705452
 -2.14207461]";"[-1.45293231 -0.17392746  0.00675475 ... -1.06850466 -0.99971121
 -1.79067543]"
0.732;0.72686;"[0.76       0.69333333 0.71333333 0.68666667 0.75333333 0.7
 0.76666667 0.74       0.76       0.74666667]";"[0.74857143 0.75142857 0.71428571 0.70571429 0.74       0.70857143
 0.74       0.70571429 0.72571429 0.72857143]";[-1 -1  1 ... -1  1 -1];"[-1.037465   -0.82269841  1.24861158 ... -0.32874945  0.25869534
 -2.12897739]";"[-1.41960569 -0.13715847  0.07928366 ... -1.04598907 -0.99982708
 -1.77149598]"
