accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.76067;0.802;"[0.79333333 0.74666667 0.76       0.72666667 0.78666667 0.76666667
 0.77333333 0.72666667 0.70666667 0.82      ]";"[0.78857143 0.83428571 0.79428571 0.76857143 0.76857143 0.8
 0.79714286 0.82857143 0.79714286 0.84285714]";[-1 -1  1 ... -1 -1 -1];"[-1.00999694 -0.35233817  0.84244664 ... -0.07956782 -0.19928734
 -1.80177377]";"[-0.81367042 -0.18412318 -0.53083527 ... -0.38064398 -0.06266716
 -1.30722731]"
0.75933;0.80143;"[0.78       0.75333333 0.75333333 0.72666667 0.78       0.76666667
 0.77333333 0.74       0.70666667 0.81333333]";"[0.78857143 0.83142857 0.78857143 0.77428571 0.77142857 0.79142857
 0.8        0.82857143 0.79428571 0.84571429]";[-1 -1  1 ... -1 -1 -1];"[-0.99677881 -0.33985468  0.83010987 ... -0.08675658 -0.19621421
 -1.75401078]";"[-0.81512873 -0.1921821  -0.51534458 ... -0.37927042 -0.06332313
 -1.29099484]"
0.75867;0.81429;"[0.79333333 0.74666667 0.75333333 0.72666667 0.77333333 0.76666667
 0.76       0.74       0.7        0.82666667]";"[0.80857143 0.83428571 0.82285714 0.77714286 0.78285714 0.80285714
 0.80571429 0.83428571 0.82285714 0.85142857]";[-1 -1  1 ... -1 -1 -1];"[-1.10308917 -0.29163472  0.85026556 ... -0.07029668 -0.23885483
 -1.89936535]";"[-0.86532026 -0.1905428  -0.49872318 ... -0.4024734  -0.09603879
 -1.43725602]"
0.75733;0.81343;"[0.78       0.75333333 0.76666667 0.71333333 0.76666667 0.76666667
 0.76       0.74       0.70666667 0.82      ]";"[0.80285714 0.83428571 0.81714286 0.77428571 0.79428571 0.80285714
 0.81142857 0.83142857 0.82285714 0.84285714]";[-1 -1  1 ... -1 -1 -1];"[-1.09771413 -0.27637961  0.84333247 ... -0.07762046 -0.23936866
 -1.85294304]";"[-0.8758735  -0.19040459 -0.47941525 ... -0.39919766 -0.09528606
 -1.42315578]"
0.76267;0.81829;"[0.78666667 0.75333333 0.76666667 0.74666667 0.75333333 0.76666667
 0.76666667 0.74       0.73333333 0.81333333]";"[0.82       0.82285714 0.81714286 0.78285714 0.79142857 0.80285714
 0.83428571 0.84285714 0.83142857 0.83714286]";[-1 -1  1 ... -1 -1 -1];"[-1.26752773 -0.1864159   0.86554166 ... -0.10939838 -0.49606898
 -2.21112419]";"[-0.92634009 -0.06753302 -0.55076019 ... -0.50273069 -0.25722211
 -1.5889148 ]"
0.76133;0.82171;"[0.77333333 0.75333333 0.78       0.74       0.76666667 0.76666667
 0.74666667 0.74       0.73333333 0.81333333]";"[0.81714286 0.82       0.81714286 0.78857143 0.80571429 0.81142857
 0.84571429 0.84285714 0.83428571 0.83428571]";[-1 -1  1 ... -1 -1 -1];"[-1.25980952 -0.17501904  0.85842171 ... -0.09037139 -0.46962476
 -2.12883915]";"[-0.91665795 -0.078078   -0.53352884 ... -0.492363   -0.23695665
 -1.58396837]"
0.76533;0.80114;"[0.77333333 0.76       0.79333333 0.74       0.76666667 0.76
 0.76666667 0.76       0.72666667 0.80666667]";"[0.79714286 0.80857143 0.79714286 0.76857143 0.79428571 0.78285714
 0.81714286 0.81428571 0.82571429 0.80571429]";[-1 -1  1 ...  1 -1 -1];"[-1.41326702 -0.02780741  0.9081892  ...  0.02257195 -0.62386806
 -2.32697712]";"[-0.89163716  0.05514117 -0.45089811 ... -0.56095456 -0.35794874
 -1.66017637]"
0.76533;0.79971;"[0.76666667 0.76666667 0.79333333 0.73333333 0.77333333 0.75333333
 0.76666667 0.76       0.72666667 0.81333333]";"[0.79142857 0.8        0.8        0.76857143 0.78571429 0.77428571
 0.82285714 0.81714286 0.82857143 0.80857143]";[-1 -1  1 ...  1 -1 -1];"[-1.43369609 -0.02522705  0.90710866 ...  0.03144616 -0.59242043
 -2.2817574 ]";"[-0.8738852   0.03961837 -0.43386435 ... -0.57055819 -0.30611484
 -1.67355987]"
0.73733;0.72743;"[0.76       0.74666667 0.73333333 0.69333333 0.78       0.68
 0.74       0.75333333 0.74666667 0.74      ]";"[0.73142857 0.75142857 0.70285714 0.69142857 0.74857143 0.7
 0.73428571 0.73428571 0.73714286 0.74285714]";[-1 -1  1 ... -1 -1 -1];"[-0.99957444 -0.79350777  1.2508249  ... -0.39620077 -0.99983714
 -1.91131935]";"[-1.44004269 -0.06359848  0.09277384 ... -1.11870697 -1.0002106
 -1.65170987]"
0.736;0.72171;"[0.74666667 0.72       0.74       0.7        0.76666667 0.69333333
 0.76666667 0.73333333 0.74666667 0.74666667]";"[0.73142857 0.74857143 0.68857143 0.69142857 0.74571429 0.69714286
 0.73142857 0.72857143 0.72571429 0.72857143]";[-1 -1  1 ... -1 -1 -1];"[-1.00892458 -0.83882473  1.30111162 ... -0.28814678 -0.99988776
 -1.86991357]";"[-1.32101132 -0.00923983  0.09573936 ... -1.07053936  0.45508351
 -1.65540837]"
0.75533;0.79857;"[0.76666667 0.75333333 0.78666667 0.74       0.78666667 0.74666667
 0.73333333 0.74666667 0.70666667 0.78666667]";"[0.77714286 0.81142857 0.79142857 0.76       0.78857143 0.78
 0.80857143 0.83428571 0.80857143 0.82571429]";[-1 -1  1 ... -1 -1 -1];"[-1.06938899 -0.41962107  0.95637332 ... -0.18000598 -0.21524232
 -1.7539872 ]";"[-0.95693971 -0.19785261 -0.36585245 ... -0.59077075 -0.34819214
 -1.31607959]"
0.76067;0.80429;"[0.76666667 0.76666667 0.76       0.73333333 0.78666667 0.76
 0.75333333 0.76666667 0.71333333 0.8       ]";"[0.78857143 0.81714286 0.80285714 0.77142857 0.79142857 0.78571429
 0.80857143 0.83714286 0.81428571 0.82571429]";[-1 -1  1 ... -1 -1 -1];"[-1.03729844 -0.42749248  0.94724318 ... -0.11426013 -0.22211639
 -1.62974473]";"[-0.94008664 -0.2006008  -0.3767502  ... -0.54225598 -0.25184784
 -1.25364148]"
0.75733;0.80343;"[0.76666667 0.76       0.78       0.74666667 0.77333333 0.75333333
 0.74       0.76       0.70666667 0.78666667]";"[0.78857143 0.81714286 0.79142857 0.78285714 0.79714286 0.78571429
 0.80857143 0.82285714 0.81428571 0.82571429]";[-1 -1  1 ... -1 -1 -1];"[-1.13027752 -0.40772594  0.9002227  ... -0.16019004 -0.25445525
 -1.88698031]";"[-0.99014143 -0.19218913 -0.34195865 ... -0.6284836  -0.37482599
 -1.35954379]"
0.764;0.80486;"[0.76       0.76666667 0.76666667 0.74       0.78       0.77333333
 0.76       0.76666667 0.72666667 0.8       ]";"[0.8        0.82857143 0.8        0.77142857 0.78857143 0.78571429
 0.81428571 0.83142857 0.81714286 0.81142857]";[-1 -1  1 ... -1 -1 -1];"[-1.13785273 -0.43121033  0.89932622 ... -0.10129361 -0.27128231
 -1.76726198]";"[-0.98810814 -0.1833544  -0.34165985 ... -0.58183962 -0.27038251
 -1.32556792]"
0.75933;0.80486;"[0.77333333 0.78       0.78       0.76666667 0.73333333 0.75333333
 0.74       0.76       0.72       0.78666667]";"[0.78857143 0.81428571 0.79428571 0.77428571 0.79714286 0.78285714
 0.82       0.83714286 0.82       0.82      ]";[-1 -1  1 ... -1 -1 -1];"[-1.21354126 -0.37451861  0.87553651 ... -0.19564822 -0.30544823
 -2.09554377]";"[-1.04992142 -0.10464641 -0.35506936 ... -0.69821216 -0.62954856
 -1.42424229]"
0.75933;0.80571;"[0.76       0.77333333 0.76666667 0.75333333 0.75333333 0.76
 0.76666667 0.76       0.72       0.78      ]";"[0.78857143 0.82285714 0.80285714 0.76571429 0.78       0.77714286
 0.83142857 0.84571429 0.82571429 0.81714286]";[-1 -1  1 ... -1 -1 -1];"[-1.24929311 -0.41605676  0.85938831 ... -0.09443741 -0.37657251
 -2.01785554]";"[-1.00362796 -0.09449393 -0.37029093 ... -0.64460432 -0.4509689
 -1.4126537 ]"
0.758;0.792;"[0.78       0.77333333 0.78666667 0.75333333 0.76       0.74
 0.73333333 0.76       0.72       0.77333333]";"[0.78285714 0.79428571 0.78       0.74857143 0.8        0.77428571
 0.81428571 0.80571429 0.82571429 0.79428571]";[-1 -1  1 ... -1 -1 -1];"[-1.30266706 -0.24722424  0.92175418 ... -0.18981836 -0.47170645
 -2.16470018]";"[-1.05109791 -0.03524709 -0.27955132 ... -0.74465887 -0.74167264
 -1.48949048]"
0.758;0.79143;"[0.77333333 0.76666667 0.79333333 0.74       0.75333333 0.74
 0.74       0.75333333 0.73333333 0.78666667]";"[0.78       0.79714286 0.78285714 0.75142857 0.79142857 0.77142857
 0.80857143 0.82       0.80857143 0.80285714]";[-1 -1  1 ... -1 -1 -1];"[-1.36399666 -0.301928    0.90578872 ... -0.09749676 -0.47094779
 -2.07781153]";"[-0.97908789 -0.06030384 -0.27850807 ... -0.71944083 -0.53467008
 -1.46118099]"
0.72933;0.72971;"[0.76666667 0.74       0.76666667 0.68       0.73333333 0.68666667
 0.74666667 0.74       0.72666667 0.70666667]";"[0.72857143 0.75142857 0.70857143 0.7        0.75142857 0.71142857
 0.73428571 0.74857143 0.73428571 0.72857143]";[-1 -1  1 ... -1 -1 -1];"[-0.99972517 -0.76248539  1.36230495 ... -0.58187571 -0.98594581
 -1.93644616]";"[-1.39101069 -0.05535105  0.11737774 ... -1.17237711 -0.99987248
 -1.53666436]"
0.732;0.72486;"[0.77333333 0.70666667 0.74       0.67333333 0.74666667 0.69333333
 0.77333333 0.72666667 0.74666667 0.74      ]";"[0.73142857 0.75428571 0.69714286 0.7        0.74571429 0.7
 0.74       0.72857143 0.72857143 0.72285714]";[-1 -1  1 ... -1 -1 -1];"[-1.00030661 -0.89841816  1.35101837 ... -0.39341546 -0.99999142
 -1.87727527]";"[-1.41632421 -0.12547446  0.12970471 ... -1.13980498  0.19393473
 -1.60383336]"
0.762;0.80629;"[0.8        0.74666667 0.77333333 0.72       0.78       0.76
 0.77333333 0.73333333 0.72       0.81333333]";"[0.78571429 0.82571429 0.80285714 0.77142857 0.76857143 0.79714286
 0.8        0.83428571 0.82285714 0.85428571]";[-1 -1  1 ... -1 -1 -1];"[-1.19514691 -0.29104915  0.80626851 ... -0.09205743 -0.25114671
 -2.09925614]";"[-0.9200091  -0.05675173 -0.48261701 ... -0.3657712  -0.06485632
 -1.35266426]"
0.76467;0.806;"[0.8        0.75333333 0.78       0.72       0.78       0.75333333
 0.78       0.74       0.72       0.82      ]";"[0.78571429 0.82       0.80285714 0.77142857 0.77142857 0.79714286
 0.8        0.83142857 0.82285714 0.85714286]";[-1 -1  1 ... -1 -1 -1];"[-1.20115671 -0.28266554  0.79764843 ... -0.09088744 -0.25890056
 -2.08860049]";"[-0.94393727 -0.04581794 -0.48228397 ... -0.35822774 -0.07273645
 -1.32713495]"
0.75667;0.812;"[0.78666667 0.74       0.76666667 0.71333333 0.77333333 0.77333333
 0.77333333 0.72       0.70666667 0.81333333]";"[0.78571429 0.83142857 0.82285714 0.77428571 0.78857143 0.80857143
 0.80285714 0.82857143 0.82571429 0.85142857]";[-1 -1  1 ... -1 -1 -1];"[-1.18962133 -0.24515258  0.79514378 ... -0.06590476 -0.25306461
 -2.00465482]";"[-0.90449652 -0.07736705 -0.4915209  ... -0.37666765 -0.0967003
 -1.44869314]"
0.75667;0.812;"[0.78       0.73333333 0.76666667 0.72       0.78       0.77333333
 0.77333333 0.72666667 0.70666667 0.80666667]";"[0.79142857 0.82571429 0.82285714 0.77142857 0.78857143 0.80285714
 0.80571429 0.82857143 0.83142857 0.85142857]";[-1 -1  1 ... -1 -1 -1];"[-1.19580065 -0.23509498  0.78723688 ... -0.0617983  -0.2633784
 -1.99021032]";"[-0.93440739 -0.06767153 -0.49103497 ... -0.36255795 -0.10404138
 -1.42486736]"
0.76667;0.81886;"[0.81333333 0.76       0.77333333 0.76       0.77333333 0.75333333
 0.75333333 0.74       0.74       0.8       ]";"[0.82285714 0.82285714 0.81714286 0.79142857 0.8        0.80857143
 0.82857143 0.83142857 0.82571429 0.84      ]";[-1 -1  1 ... -1 -1 -1];"[-1.28552206 -0.06477626  0.7959739  ... -0.16534999 -0.57037663
 -2.09384343]";"[-0.94388393  0.05092451 -0.58259409 ... -0.49950848 -0.29638788
 -1.54917368]"
0.76467;0.81914;"[0.80666667 0.74666667 0.76666667 0.76       0.78       0.76
 0.75333333 0.73333333 0.74       0.8       ]";"[0.82       0.82857143 0.81714286 0.78571429 0.8        0.80857143
 0.82857143 0.83428571 0.82857143 0.84      ]";[-1 -1  1 ... -1 -1 -1];"[-1.28997651 -0.0576606   0.79179514 ... -0.15569993 -0.58489478
 -2.00219812]";"[-0.95967008  0.03779489 -0.58440881 ... -0.48827371 -0.30496597
 -1.52646671]"
0.76733;0.80514;"[0.78       0.77333333 0.77333333 0.74       0.77333333 0.77333333
 0.76       0.76       0.74666667 0.79333333]";"[0.79428571 0.80857143 0.80285714 0.78285714 0.79142857 0.78857143
 0.82571429 0.81428571 0.82857143 0.81428571]";[-1 -1  1 ... -1 -1 -1];"[-1.36563305 -0.12497049  0.91205987 ... -0.02190146 -0.6160158
 -2.16724427]";"[-0.90225171  0.19018436 -0.6406879  ... -0.48647163 -0.39423988
 -1.51035957]"
