accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.75267;0.76171;"[0.72666667 0.76       0.81333333 0.73333333 0.78666667 0.73333333
 0.79333333 0.72666667 0.67333333 0.78      ]";"[0.75714286 0.81428571 0.79428571 0.69428571 0.74571429 0.77428571
 0.75714286 0.76857143 0.75714286 0.75428571]";[-1 -1  1 ... -1 -1 -1];"[[0.80961317 0.19038683]
 [0.75838986 0.24161014]
 [0.08259098 0.91740902]
 ...
 [0.73105291 0.26894709]
 [0.52756823 0.47243177]
 [0.87796634 0.12203366]]";"[[0.78709443 0.21290557]
 [0.6033654  0.3966346 ]
 [0.61523239 0.38476761]
 ...
 [0.81150961 0.18849039]
 [0.50051511 0.49948489]
 [0.84338068 0.15661932]]"
0.69;0.71086;"[0.70666667 0.69333333 0.71333333 0.66666667 0.72       0.59333333
 0.74666667 0.70666667 0.65333333 0.7       ]";"[0.69714286 0.75142857 0.70857143 0.65714286 0.71142857 0.72285714
 0.72857143 0.70285714 0.71142857 0.71714286]";[-1 -1  1 ... -1 -1 -1];"[[0.79867209 0.20132791]
 [0.75888626 0.24111374]
 [0.21035002 0.78964998]
 ...
 [0.73213039 0.26786961]
 [0.56732904 0.43267096]
 [0.91019377 0.08980623]]";"[[0.8590244  0.1409756 ]
 [0.64228158 0.35771842]
 [0.42274245 0.57725755]
 ...
 [0.86534645 0.13465355]
 [0.60858569 0.39141431]
 [0.91286372 0.08713628]]"
0.69067;0.708;"[0.69333333 0.69333333 0.71333333 0.68666667 0.72       0.59333333
 0.74666667 0.71333333 0.65333333 0.69333333]";"[0.69714286 0.75714286 0.70571429 0.66       0.71428571 0.73714286
 0.71142857 0.69428571 0.70571429 0.69714286]";[-1 -1  1 ... -1 -1 -1];"[[0.79878307 0.20121693]
 [0.76007193 0.23992807]
 [0.20479456 0.79520544]
 ...
 [0.73019874 0.26980126]
 [0.54939761 0.45060239]
 [0.91271473 0.08728527]]";"[[0.85875342 0.14124658]
 [0.64221439 0.35778561]
 [0.4207311  0.5792689 ]
 ...
 [0.86999114 0.13000886]
 [0.5911285  0.4088715 ]
 [0.91630858 0.08369142]]"
0.74733;0.76571;"[0.73333333 0.76       0.77333333 0.73333333 0.80666667 0.70666667
 0.78       0.73333333 0.68       0.76666667]";"[0.76285714 0.78571429 0.77428571 0.73142857 0.75142857 0.75714286
 0.78571429 0.76857143 0.75714286 0.78285714]";[-1 -1  1 ... -1  1 -1];"[[0.74583806 0.25416194]
 [0.66934866 0.33065134]
 [0.06177371 0.93822629]
 ...
 [0.59860249 0.40139751]
 [0.44689633 0.55310367]
 [0.82374331 0.17625669]]";"[[0.7592487  0.2407513 ]
 [0.60073345 0.39926655]
 [0.52831984 0.47168016]
 ...
 [0.70467971 0.29532029]
 [0.4649466  0.5350534 ]
 [0.79233293 0.20766707]]"
0.74933;0.76714;"[0.74       0.76       0.77333333 0.72       0.80666667 0.70666667
 0.78       0.74666667 0.68666667 0.77333333]";"[0.76571429 0.78857143 0.77142857 0.72857143 0.75714286 0.76285714
 0.78571429 0.77142857 0.75714286 0.78285714]";[-1 -1  1 ... -1  1 -1];"[[0.76388515 0.23611485]
 [0.67529535 0.32470465]
 [0.05350391 0.94649609]
 ...
 [0.60475071 0.39524929]
 [0.4504101  0.5495899 ]
 [0.83483714 0.16516286]]";"[[0.76388324 0.23611676]
 [0.59763173 0.40236827]
 [0.52511677 0.47488323]
 ...
 [0.71452774 0.28547226]
 [0.45606232 0.54393768]
 [0.80271568 0.19728432]]"
0.74533;0.77171;"[0.72       0.76       0.77333333 0.72666667 0.78666667 0.7
 0.78       0.74666667 0.69333333 0.76666667]";"[0.76857143 0.79142857 0.76857143 0.71714286 0.77142857 0.78285714
 0.78571429 0.79142857 0.75714286 0.78285714]";[-1 -1  1 ... -1  1 -1];"[[0.7993936  0.2006064 ]
 [0.74074319 0.25925681]
 [0.08379132 0.91620868]
 ...
 [0.64925065 0.35074935]
 [0.46250402 0.53749598]
 [0.85889403 0.14110597]]";"[[0.7869434  0.2130566 ]
 [0.63132869 0.36867131]
 [0.55235223 0.44764777]
 ...
 [0.7206466  0.2793534 ]
 [0.47613966 0.52386034]
 [0.82123604 0.17876396]]"
0.74933;0.77257;"[0.72666667 0.75333333 0.78       0.72666667 0.80666667 0.71333333
 0.77333333 0.75333333 0.68666667 0.77333333]";"[0.77428571 0.78857143 0.77428571 0.71714286 0.76857143 0.78285714
 0.78571429 0.78857143 0.76       0.78571429]";[-1 -1  1 ... -1  1 -1];"[[0.81698825 0.18301175]
 [0.74685802 0.25314198]
 [0.07212159 0.92787841]
 ...
 [0.65186541 0.34813459]
 [0.45887331 0.54112669]
 [0.86814703 0.13185297]]";"[[0.79293417 0.20706583]
 [0.6302658  0.3697342 ]
 [0.55009308 0.44990692]
 ...
 [0.72987744 0.27012256]
 [0.4661377  0.5338623 ]
 [0.83266904 0.16733096]]"
0.74667;0.76971;"[0.73333333 0.74666667 0.77333333 0.69333333 0.80666667 0.71333333
 0.78       0.74666667 0.69333333 0.78      ]";"[0.77142857 0.80285714 0.78       0.70571429 0.76571429 0.77714286
 0.78285714 0.78857143 0.75428571 0.76857143]";[-1 -1  1 ... -1 -1 -1];"[[0.83099766 0.16900234]
 [0.74724572 0.25275428]
 [0.11704673 0.88295327]
 ...
 [0.69668617 0.30331383]
 [0.51739621 0.48260379]
 [0.88012419 0.11987581]]";"[[0.80187238 0.19812762]
 [0.63514981 0.36485019]
 [0.58321544 0.41678456]
 ...
 [0.75012865 0.24987135]
 [0.52721149 0.47278851]
 [0.83961759 0.16038241]]"
0.752;0.77371;"[0.72666667 0.76       0.77333333 0.72       0.81333333 0.72
 0.78       0.74       0.70666667 0.78      ]";"[0.77142857 0.81142857 0.78857143 0.70857143 0.76857143 0.78285714
 0.79142857 0.78571429 0.77142857 0.75714286]";[-1 -1  1 ... -1 -1 -1];"[[0.84687403 0.15312597]
 [0.75267296 0.24732704]
 [0.09836703 0.90163297]
 ...
 [0.70054341 0.29945659]
 [0.51228363 0.48771637]
 [0.88845438 0.11154562]]";"[[0.80698218 0.19301782]
 [0.63389483 0.36610517]
 [0.58488912 0.41511088]
 ...
 [0.76337148 0.23662852]
 [0.51950652 0.48049348]
 [0.85269999 0.14730001]]"
0.75;0.75914;"[0.73333333 0.76       0.78666667 0.69333333 0.8        0.72
 0.80666667 0.74       0.68666667 0.77333333]";"[0.76285714 0.80571429 0.78857143 0.69142857 0.74857143 0.78285714
 0.75428571 0.76857143 0.74       0.74857143]";[-1 -1  1 ... -1 -1 -1];"[[0.79934436 0.20065564]
 [0.76662988 0.23337012]
 [0.12754639 0.87245361]
 ...
 [0.72950015 0.27049985]
 [0.54019089 0.45980911]
 [0.85892349 0.14107651]]";"[[0.79974639 0.20025361]
 [0.62270137 0.37729863]
 [0.57003096 0.42996904]
 ...
 [0.77066472 0.22933528]
 [0.53574713 0.46425287]
 [0.83385798 0.16614202]]"
