accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.764;0.75857;"[0.74       0.77333333 0.76       0.77333333 0.81333333 0.76
 0.77333333 0.76666667 0.70666667 0.77333333]";"[0.74857143 0.77714286 0.78285714 0.73142857 0.74285714 0.75142857
 0.78571429 0.74571429 0.75142857 0.76857143]";[-1 -1  1 ... -1  1 -1];"[[0.56789693 0.43210307]
 [0.52179889 0.47820111]
 [0.39479409 0.60520591]
 ...
 [0.52033414 0.47966586]
 [0.47501673 0.52498327]
 [0.65097084 0.34902916]]";"[[0.59049911 0.40950089]
 [0.51805838 0.48194162]
 [0.50939434 0.49060566]
 ...
 [0.54808718 0.45191282]
 [0.47933003 0.52066997]
 [0.63349492 0.36650508]]"
0.768;0.758;"[0.74       0.78       0.76       0.78666667 0.81333333 0.76666667
 0.77333333 0.77333333 0.71333333 0.77333333]";"[0.74857143 0.78285714 0.78       0.72285714 0.74285714 0.75714286
 0.78285714 0.74571429 0.75142857 0.76571429]";[-1 -1  1 ... -1  1 -1];"[[0.57218052 0.42781948]
 [0.52255796 0.47744204]
 [0.39095021 0.60904979]
 ...
 [0.520772   0.479228  ]
 [0.47484319 0.52515681]
 [0.66202299 0.33797701]]";"[[0.59506805 0.40493195]
 [0.51743293 0.48256707]
 [0.50958654 0.49041346]
 ...
 [0.55027256 0.44972744]
 [0.47826333 0.52173667]
 [0.64295037 0.35704963]]"
0.762;0.76171;"[0.75333333 0.77333333 0.75333333 0.76       0.81333333 0.74
 0.76666667 0.75333333 0.71333333 0.79333333]";"[0.76       0.78571429 0.78       0.71714286 0.76       0.76285714
 0.78       0.76571429 0.75428571 0.75142857]";[-1 -1  1 ... -1  1 -1];"[[0.57567028 0.42432972]
 [0.52616493 0.47383507]
 [0.39635207 0.60364793]
 ...
 [0.52390663 0.47609337]
 [0.47343805 0.52656195]
 [0.64999252 0.35000748]]";"[[0.59380924 0.40619076]
 [0.51978789 0.48021211]
 [0.50969402 0.49030598]
 ...
 [0.55056953 0.44943047]
 [0.48403358 0.51596642]
 [0.6393133  0.3606867 ]]"
0.76;0.76286;"[0.74666667 0.77333333 0.75333333 0.74666667 0.82666667 0.74666667
 0.77333333 0.74       0.71333333 0.78      ]";"[0.75714286 0.78857143 0.78285714 0.71714286 0.75428571 0.77142857
 0.78       0.77142857 0.75142857 0.75428571]";[-1 -1  1 ... -1  1 -1];"[[0.58036597 0.41963403]
 [0.52675331 0.47324669]
 [0.39231451 0.60768549]
 ...
 [0.52415505 0.47584495]
 [0.4728381  0.5271619 ]
 [0.66022862 0.33977138]]";"[[0.59788798 0.40211202]
 [0.51929785 0.48070215]
 [0.5099572  0.4900428 ]
 ...
 [0.55284943 0.44715057]
 [0.48324462 0.51675538]
 [0.64871937 0.35128063]]"
0.76;0.77371;"[0.74666667 0.78666667 0.78666667 0.74       0.78       0.72666667
 0.75333333 0.75333333 0.73333333 0.79333333]";"[0.77714286 0.80285714 0.79428571 0.73142857 0.76285714 0.76
 0.78285714 0.78       0.76857143 0.77714286]";[-1 -1  1 ... -1  1 -1];"[[0.59135496 0.40864504]
 [0.5219415  0.4780585 ]
 [0.38697389 0.61302611]
 ...
 [0.54943676 0.45056324]
 [0.4823206  0.5176794 ]
 [0.66304724 0.33695276]]";"[[0.60099142 0.39900858]
 [0.51713942 0.48286058]
 [0.50961872 0.49038128]
 ...
 [0.56585076 0.43414924]
 [0.49435357 0.50564643]
 [0.65300592 0.34699408]]"
0.76067;0.77457;"[0.74666667 0.78666667 0.78       0.74       0.77333333 0.73333333
 0.75333333 0.75333333 0.74666667 0.79333333]";"[0.78571429 0.80571429 0.79142857 0.73142857 0.76285714 0.76571429
 0.78       0.77714286 0.77142857 0.77428571]";[-1 -1  1 ... -1  1 -1];"[[0.59694876 0.40305124]
 [0.52122155 0.47877845]
 [0.3817448  0.6182552 ]
 ...
 [0.55192819 0.44807181]
 [0.47875656 0.52124344]
 [0.67315023 0.32684977]]";"[[0.60579702 0.39420298]
 [0.5180037  0.4819963 ]
 [0.5100861  0.4899139 ]
 ...
 [0.56949207 0.43050793]
 [0.49378466 0.50621534]
 [0.66471143 0.33528857]]"
0.758;0.76229;"[0.72666667 0.79333333 0.79333333 0.75333333 0.77333333 0.71333333
 0.78       0.74666667 0.71333333 0.78666667]";"[0.76857143 0.78857143 0.78285714 0.72285714 0.74571429 0.76
 0.78       0.76285714 0.76285714 0.74857143]";[-1 -1  1 ... -1  1 -1];"[[0.60608467 0.39391533]
 [0.5412538  0.4587462 ]
 [0.36803156 0.63196844]
 ...
 [0.55383384 0.44616616]
 [0.48498883 0.51501117]
 [0.67680203 0.32319797]]";"[[0.60157014 0.39842986]
 [0.50536905 0.49463095]
 [0.50245588 0.49754412]
 ...
 [0.57324441 0.42675559]
 [0.48771318 0.51228682]
 [0.66169301 0.33830699]]"
0.756;0.76486;"[0.72666667 0.8        0.79333333 0.74666667 0.77333333 0.72
 0.76666667 0.74666667 0.7        0.78666667]";"[0.77142857 0.79142857 0.79428571 0.72       0.74857143 0.76571429
 0.78       0.76571429 0.76857143 0.74285714]";[-1 -1  1 ... -1  1 -1];"[[0.61270812 0.38729188]
 [0.54197117 0.45802883]
 [0.36005305 0.63994695]
 ...
 [0.55537891 0.44462109]
 [0.48333754 0.51666246]
 [0.68679791 0.31320209]]";"[[0.60437664 0.39562336]
 [0.50280432 0.49719568]
 [0.50250272 0.49749728]
 ...
 [0.5767872  0.4232128 ]
 [0.48500969 0.51499031]
 [0.67370019 0.32629981]]"
0.70933;0.71229;"[0.70666667 0.72       0.71333333 0.67333333 0.74       0.63333333
 0.76666667 0.72666667 0.69333333 0.72      ]";"[0.67428571 0.73714286 0.71714286 0.68285714 0.70571429 0.71142857
 0.73142857 0.72285714 0.70571429 0.73428571]";[-1 -1  1 ... -1 -1 -1];"[[0.62770493 0.37229507]
 [0.6121026  0.3878974 ]
 [0.34382917 0.65617083]
 ...
 [0.57989815 0.42010185]
 [0.51164063 0.48835937]
 [0.67791272 0.32208728]]";"[[0.68585712 0.31414288]
 [0.53831523 0.46168477]
 [0.44236075 0.55763925]
 ...
 [0.67242043 0.32757957]
 [0.52971558 0.47028442]
 [0.67787945 0.32212055]]"
0.70467;0.70629;"[0.7        0.72       0.70666667 0.69333333 0.72       0.63333333
 0.74       0.73333333 0.68       0.72      ]";"[0.67714286 0.75714286 0.71142857 0.67714286 0.71142857 0.70857143
 0.70857143 0.70285714 0.7        0.70857143]";[-1 -1  1 ... -1  1 -1];"[[0.64360032 0.35639968]
 [0.6131735  0.3868265 ]
 [0.33279059 0.66720941]
 ...
 [0.58467011 0.41532989]
 [0.49579552 0.50420448]
 [0.68925441 0.31074559]]";"[[0.70464704 0.29535296]
 [0.52880008 0.47119992]
 [0.43221733 0.56778267]
 ...
 [0.69927566 0.30072434]
 [0.515277   0.484723  ]
 [0.69309059 0.30690941]]"
0.74133;0.74914;"[0.74       0.74666667 0.73333333 0.71333333 0.78       0.70666667
 0.76666667 0.75333333 0.69333333 0.78      ]";"[0.74       0.76857143 0.76571429 0.73714286 0.73714286 0.73714286
 0.76857143 0.74285714 0.74285714 0.75142857]";[-1 -1  1 ... -1  1 -1];"[[0.56845164 0.43154836]
 [0.52944083 0.47055917]
 [0.40354896 0.59645104]
 ...
 [0.52332407 0.47667593]
 [0.48180304 0.51819696]
 [0.61959949 0.38040051]]";"[[0.59236064 0.40763936]
 [0.52259884 0.47740116]
 [0.50092137 0.49907863]
 ...
 [0.54583989 0.45416011]
 [0.49655781 0.50344219]
 [0.61607839 0.38392161]]"
0.74867;0.754;"[0.74666667 0.75333333 0.73333333 0.74       0.8        0.71333333
 0.76666667 0.76       0.69333333 0.78      ]";"[0.75428571 0.77142857 0.76571429 0.73142857 0.75428571 0.73142857
 0.77714286 0.75142857 0.74285714 0.76      ]";[-1 -1  1 ... -1  1 -1];"[[0.5821572  0.4178428 ]
 [0.53198355 0.46801645]
 [0.38971467 0.61028533]
 ...
 [0.52671077 0.47328923]
 [0.48078127 0.51921873]
 [0.64261972 0.35738028]]";"[[0.60340059 0.39659941]
 [0.51961415 0.48038585]
 [0.49905073 0.50094927]
 ...
 [0.55172009 0.44827991]
 [0.49258416 0.50741584]
 [0.63784045 0.36215955]]"
0.73733;0.75971;"[0.74666667 0.74666667 0.74       0.70666667 0.77333333 0.69333333
 0.76666667 0.73333333 0.68666667 0.78      ]";"[0.75142857 0.78285714 0.77428571 0.72571429 0.76285714 0.74571429
 0.78571429 0.75428571 0.74857143 0.76571429]";[-1 -1  1 ... -1  1 -1];"[[0.57435782 0.42564218]
 [0.53181067 0.46818933]
 [0.40545187 0.59454813]
 ...
 [0.52690899 0.47309101]
 [0.48347386 0.51652614]
 [0.61956382 0.38043618]]";"[[0.59451649 0.40548351]
 [0.52273024 0.47726976]
 [0.50058438 0.49941562]
 ...
 [0.54729282 0.45270718]
 [0.49888754 0.50111246]
 [0.62002232 0.37997768]]"
0.74733;0.75971;"[0.74666667 0.75333333 0.74       0.73333333 0.79333333 0.7
 0.75333333 0.76       0.69333333 0.8       ]";"[0.75428571 0.78571429 0.76857143 0.72571429 0.77142857 0.74285714
 0.78857143 0.75142857 0.74857143 0.76      ]";[-1 -1  1 ... -1  1 -1];"[[0.58906286 0.41093714]
 [0.53398384 0.46601616]
 [0.39115929 0.60884071]
 ...
 [0.53027523 0.46972477]
 [0.48147545 0.51852455]
 [0.64120505 0.35879495]]";"[[0.604654   0.395346  ]
 [0.52003177 0.47996823]
 [0.498709   0.501291  ]
 ...
 [0.55327773 0.44672227]
 [0.4953972  0.5046028 ]
 [0.64206506 0.35793494]]"
0.752;0.76514;"[0.76       0.76       0.76       0.71333333 0.78666667 0.7
 0.78666667 0.74       0.71333333 0.8       ]";"[0.76857143 0.79142857 0.77714286 0.72571429 0.76857143 0.74285714
 0.79428571 0.76285714 0.76857143 0.75142857]";[-1 -1  1 ... -1  1 -1];"[[0.58259145 0.41740855]
 [0.53354388 0.46645612]
 [0.40070772 0.59929228]
 ...
 [0.54343874 0.45656126]
 [0.4887477  0.5112523 ]
 [0.62861585 0.37138415]]";"[[0.59765172 0.40234828]
 [0.52209512 0.47790488]
 [0.49876368 0.50123632]
 ...
 [0.55426094 0.44573906]
 [0.50556241 0.49443759]
 [0.62513117 0.37486883]]"
