accuracy;accuracy2;cvscore;cvscore2;y_pred;y_pred_pr;cvpred_pr
0.68;0.694;"[0.7        0.66       0.70666667 0.64666667 0.70666667 0.66
 0.73333333 0.67333333 0.60666667 0.70666667]";"[0.68285714 0.71714286 0.69142857 0.69714286 0.68       0.69714286
 0.67714286 0.7        0.67714286 0.72      ]";[-1 -1  1 ... -1 -1 -1];"[-0.10222276 -0.20330565  0.7124824  ... -0.03261684 -0.0611939
 -0.46992114]";"[-0.49449481 -0.28958505 -0.03666275 ... -0.57776799 -0.43229271
 -0.21884646]"
0.68;0.694;"[0.7        0.66       0.70666667 0.64666667 0.70666667 0.66
 0.73333333 0.67333333 0.60666667 0.70666667]";"[0.68285714 0.71714286 0.69142857 0.69714286 0.68       0.69714286
 0.67714286 0.7        0.67714286 0.72      ]";[-1 -1  1 ... -1 -1 -1];"[-0.10222276 -0.20330565  0.7124824  ... -0.03261684 -0.0611939
 -0.46992114]";"[-0.49449481 -0.28958505 -0.03666275 ... -0.57776799 -0.43229271
 -0.21884646]"
0.66333;0.72114;"[0.7        0.65333333 0.7        0.60666667 0.73333333 0.60666667
 0.72       0.67333333 0.58666667 0.65333333]";"[0.71142857 0.74       0.74       0.71714286 0.71142857 0.69714286
 0.70571429 0.74285714 0.70285714 0.74285714]";[-1 -1  1 ...  1  1 -1];"[-0.57767711 -0.81372292  0.72489622 ...  0.16875059  0.99989205
 -0.8132698 ]";"[-0.58621545 -0.54303942 -0.13450963 ... -0.77405801 -0.99983902
 -0.35716042]"
0.66333;0.72114;"[0.7        0.65333333 0.7        0.60666667 0.73333333 0.60666667
 0.72       0.67333333 0.58666667 0.65333333]";"[0.71142857 0.74       0.74       0.71714286 0.71142857 0.69714286
 0.70571429 0.74285714 0.70285714 0.74285714]";[-1 -1  1 ...  1  1 -1];"[-0.57767711 -0.81372292  0.72489622 ...  0.16875059  0.99989205
 -0.8132698 ]";"[-0.58621545 -0.54303942 -0.13450963 ... -0.77405801 -0.99983902
 -0.35716042]"
0.66933;0.718;"[0.62       0.68666667 0.69333333 0.63333333 0.72666667 0.59333333
 0.74       0.66666667 0.64666667 0.68666667]";"[0.69714286 0.74       0.70571429 0.72285714 0.69428571 0.72571429
 0.72571429 0.72857143 0.70571429 0.73428571]";[-1 -1  1 ...  1 -1 -1];"[-0.99976017 -0.99990942  0.31621214 ...  0.9997114  -0.9999361
 -0.97915141]";"[-0.34221052 -0.99966785 -0.81565363 ... -0.48119158 -1.00032745
 -0.8409192 ]"
0.66933;0.718;"[0.62       0.68666667 0.69333333 0.63333333 0.72666667 0.59333333
 0.74       0.66666667 0.64666667 0.68666667]";"[0.69714286 0.74       0.70571429 0.72285714 0.69428571 0.72571429
 0.72571429 0.72857143 0.70571429 0.73428571]";[-1 -1  1 ...  1 -1 -1];"[-0.99976017 -0.99990942  0.31621214 ...  0.9997114  -0.9999361
 -0.97915141]";"[-0.34221052 -0.99966785 -0.81565363 ... -0.48119158 -1.00032745
 -0.8409192 ]"
0.67467;0.69543;"[0.61333333 0.70666667 0.74       0.63333333 0.72666667 0.60666667
 0.72666667 0.67333333 0.64666667 0.67333333]";"[0.67714286 0.71714286 0.69428571 0.68285714 0.68       0.72285714
 0.70857143 0.7        0.67428571 0.69714286]";[-1 -1  1 ... -1 -1 -1];"[-0.99970114 -0.99961377  0.89984857 ... -0.00342416 -0.99976582
 -0.62840482]";"[-0.99967747 -0.99998038 -0.74118662 ... -0.71754956 -0.99963026
 -0.02931692]"
0.67467;0.69543;"[0.61333333 0.70666667 0.74       0.63333333 0.72666667 0.60666667
 0.72666667 0.67333333 0.64666667 0.67333333]";"[0.67714286 0.71714286 0.69428571 0.68285714 0.68       0.72285714
 0.70857143 0.7        0.67428571 0.69714286]";[-1 -1  1 ... -1 -1 -1];"[-0.99970114 -0.99961377  0.89984857 ... -0.00342416 -0.99976582
 -0.62840482]";"[-0.99967747 -0.99998038 -0.74118662 ... -0.71754956 -0.99963026
 -0.02931692]"
0.63733;0.62371;"[0.62666667 0.62666667 0.68666667 0.62       0.62       0.61333333
 0.66       0.66       0.60666667 0.65333333]";"[0.63428571 0.63428571 0.62571429 0.59714286 0.62       0.62285714
 0.61714286 0.62857143 0.60571429 0.65142857]";[-1 -1 -1 ... -1 -1 -1];"[-0.99986975 -0.99986975 -0.99984741 ... -0.99997357 -0.99984741
 -0.99986975]";"[-0.9996215  -0.9996215  -1.00029579 ... -0.99963181 -0.99993761
 -0.99976049]"
0.63733;0.62371;"[0.62666667 0.62666667 0.68666667 0.62       0.62       0.61333333
 0.66       0.66       0.60666667 0.65333333]";"[0.63428571 0.63428571 0.62571429 0.59714286 0.62       0.62285714
 0.61714286 0.62857143 0.60571429 0.65142857]";[-1 -1 -1 ... -1 -1 -1];"[-0.99986975 -0.99986975 -0.99984741 ... -0.99997357 -0.99984741
 -0.99986975]";"[-0.9996215  -0.9996215  -1.00029579 ... -0.99963181 -0.99993761
 -0.99976049]"
